transaction_id,transaction_date,Year,Quarter_Name,Month_Number,Month_Name,Week_Number,Day_Number,Day_Name,Week_Type,Time_of_Transaction,Time_Buckets,Hour,Minute,transaction_qty,Order_Size,store_id,store_location,product_id,unit_price,unit_price_clean,total_amount,Spending_Level,product_category,product_type,product_category,product_detail
1,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:06:11,Dawn,7,6,2,Small Order,5,Lower Manhattan,32,3,3.00,6.00,Low,Coffee,Gourmet brewed coffee,Coffee,Ethiopia Rg
2,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:08:56,Dawn,7,8,2,Small Order,5,Lower Manhattan,57,"3,1",3.10,6.20,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Lg
3,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:14:04,Dawn,7,14,2,Small Order,5,Lower Manhattan,59,"4,5",4.50,9.00,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Dark chocolate Lg
4,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:20:24,Dawn,7,20,1,Single,5,Lower Manhattan,22,2,2.00,2.00,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Sm
5,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:22:41,Dawn,7,22,2,Small Order,5,Lower Manhattan,57,"3,1",3.10,6.20,Low,Tea,Brewed Chai tea,Tea,Spicy Eye Opener Chai Lg
6,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:22:41,Dawn,7,22,1,Single,5,Lower Manhattan,77,3,3.00,3.00,Low,Bakery,Scone,Drinks/Food,Oatmeal Scone
7,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:25:49,Dawn,7,25,1,Single,5,Lower Manhattan,22,2,2.00,2.00,Low,Coffee,Drip coffee,Coffee,Our Old Time Diner Blend Sm
8,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:33:34,Dawn,7,33,2,Small Order,5,Lower Manhattan,28,2,2.00,4.00,Low,Coffee,Gourmet brewed coffee,Coffee,Columbian Medium Roast Sm
9,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:39:13,Dawn,7,39,1,Single,5,Lower Manhattan,39,"4,25",4.25,4.25,Low,Coffee,Barista Espresso,Drinks/Food,Latte Rg
10,2023-01-01,2023,Q1,1,Jan 2023,52,1,Sunday,Weekend,07:39:34,Dawn,7,39,2,Small Order,5,Lower Manhattan,58,"3,5",3.50,7.00,Low,Drinking Chocolate,Hot chocolate,Drinks/Food,Dark chocolate Rg
